feature_set	outer_split_1	outer_split_2	n_selected_split_1	n_selected_split_2	intersection_size	union_size	jaccard_similarity
combined_all	12	20	20	5	4	21	0.19047619047619047
combined_all	12	21	20	20	7	33	0.21212121212121213
combined_all	12	22	20	5	3	22	0.13636363636363635
combined_all	12	23	20	50	11	59	0.1864406779661017
combined_all	12	24	20	20	7	33	0.21212121212121213
combined_all	12	25	20	20	5	35	0.14285714285714285
combined_all	13	14	10	10	3	17	0.17647058823529413
combined_all	13	15	10	10	4	16	0.25
combined_all	13	16	10	10	4	16	0.25
combined_all	13	17	10	20	6	24	0.25
combined_all	13	18	10	10	3	17	0.17647058823529413
combined_all	13	19	10	10	4	16	0.25
combined_all	13	20	10	5	3	12	0.25
combined_all	13	21	10	20	5	25	0.2
combined_all	13	22	10	5	4	11	0.36363636363636365
combined_all	13	23	10	50	9	51	0.17647058823529413
combined_all	13	24	10	20	8	22	0.36363636363636365
combined_all	13	25	10	20	6	24	0.25
combined_all	14	15	10	10	1	19	0.05263157894736842
combined_all	14	16	10	10	5	15	0.3333333333333333
combined_all	14	17	10	20	2	28	0.07142857142857142
combined_all	14	18	10	10	2	18	0.1111111111111111
combined_all	14	19	10	10	3	17	0.17647058823529413
combined_all	14	20	10	5	1	14	0.07142857142857142
combined_all	14	21	10	20	4	26	0.15384615384615385
combined_all	14	22	10	5	2	13	0.15384615384615385
combined_all	14	23	10	50	5	55	0.09090909090909091
combined_all	14	24	10	20	7	23	0.30434782608695654
combined_all	14	25	10	20	5	25	0.2
combined_all	15	16	10	10	2	18	0.1111111111111111
combined_all	15	17	10	20	6	24	0.25
combined_all	15	18	10	10	2	18	0.1111111111111111
combined_all	15	19	10	10	5	15	0.3333333333333333
combined_all	15	20	10	5	3	12	0.25
combined_all	15	21	10	20	4	26	0.15384615384615385
combined_all	15	22	10	5	3	12	0.25
combined_all	15	23	10	50	7	53	0.1320754716981132
combined_all	15	24	10	20	4	26	0.15384615384615385
combined_all	15	25	10	20	5	25	0.2
combined_all	16	17	10	20	4	26	0.15384615384615385
combined_all	16	18	10	10	1	19	0.05263157894736842
combined_all	16	19	10	10	2	18	0.1111111111111111
combined_all	16	20	10	5	1	14	0.07142857142857142
combined_all	16	21	10	20	5	25	0.2
combined_all	16	22	10	5	1	14	0.07142857142857142
combined_all	16	23	10	50	7	53	0.1320754716981132
combined_all	16	24	10	20	8	22	0.36363636363636365
combined_all	16	25	10	20	5	25	0.2
combined_all	17	18	20	10	2	28	0.07142857142857142
combined_all	17	19	20	10	4	26	0.15384615384615385
combined_all	17	20	20	5	3	22	0.13636363636363635
combined_all	17	21	20	20	6	34	0.17647058823529413
combined_all	17	22	20	5	3	22	0.13636363636363635
combined_all	17	23	20	50	15	55	0.2727272727272727
combined_all	17	24	20	20	8	32	0.25
combined_all	17	25	20	20	4	36	0.1111111111111111
combined_all	18	19	10	10	4	16	0.25
combined_all	18	20	10	5	2	13	0.15384615384615385
combined_all	18	21	10	20	4	26	0.15384615384615385
combined_all	18	22	10	5	3	12	0.25
combined_all	18	23	10	50	6	54	0.1111111111111111
combined_all	18	24	10	20	3	27	0.1111111111111111
combined_all	18	25	10	20	3	27	0.1111111111111111
combined_all	19	20	10	5	3	12	0.25
combined_all	19	21	10	20	6	24	0.25
combined_all	19	22	10	5	4	11	0.36363636363636365
combined_all	19	23	10	50	7	53	0.1320754716981132
combined_all	19	24	10	20	6	24	0.25
combined_all	19	25	10	20	5	25	0.2
combined_all	20	21	5	20	3	22	0.13636363636363635
combined_all	20	22	5	5	3	7	0.42857142857142855
combined_all	20	23	5	50	3	52	0.057692307692307696
combined_all	20	24	5	20	3	22	0.13636363636363635
combined_all	20	25	5	20	3	22	0.13636363636363635
combined_all	21	22	20	5	4	21	0.19047619047619047
combined_all	21	23	20	50	8	62	0.12903225806451613
combined_all	21	24	20	20	10	30	0.3333333333333333
combined_all	21	25	20	20	6	34	0.17647058823529413
combined_all	22	23	5	50	4	51	0.0784313725490196
combined_all	22	24	5	20	4	21	0.19047619047619047
combined_all	22	25	5	20	4	21	0.19047619047619047
combined_all	23	24	50	20	13	57	0.22807017543859648
combined_all	23	25	50	20	8	62	0.12903225806451613
combined_all	24	25	20	20	10	30	0.3333333333333333
